iter	Passed	Remaining
299	383	895
300	384	893
301	385	890
302	386	888
303	387	886
304	387	883
305	388	881
306	389	879
307	390	877
308	391	874
309	392	872
310	393	870
311	393	868
312	394	866
313	395	864
314	396	862
315	397	859
316	398	857
317	398	855
318	399	853
319	400	851
320	401	848
321	402	847
322	403	844
323	403	842
324	404	840
325	405	838
326	406	836
327	407	834
328	408	832
329	409	830
330	409	828
331	410	826
332	411	824
333	412	822
334	413	821
335	414	819
336	415	817
337	416	815
338	417	813
339	417	811
340	418	809
341	419	807
342	420	805
343	421	803
344	422	801
345	422	799
346	423	797
347	424	795
348	425	793
349	426	791
350	427	790
351	428	788
352	429	787
353	430	785
354	431	783
355	432	782
356	433	780
357	434	778
358	435	776
359	435	774
360	436	773
361	437	771
362	438	769
363	439	768
364	440	766
365	441	764
366	442	762
367	442	760
368	443	758
369	444	757
370	445	755
371	446	753
372	447	751
373	448	750
374	449	748
375	449	746
376	450	744
377	451	742
378	452	741
379	453	739
380	454	737
381	455	736
382	455	734
383	456	732
384	457	731
385	458	729
386	459	727
387	460	726
388	461	724
389	462	723
390	463	721
391	464	719
392	464	718
393	465	716
394	466	714
395	467	713
396	468	711
397	469	709
398	470	708
399	470	706
400	471	704
401	472	702
402	473	701
403	474	699
404	474	697
405	475	696
406	476	694
407	477	692
408	478	690
409	478	689
410	479	687
411	480	686
412	481	684
413	482	682
414	483	681
415	483	679
416	484	677
417	485	676
418	486	674
419	487	673
420	488	671
421	489	669
422	490	668
423	490	666
424	491	665
425	492	663
426	493	662
427	494	660
428	495	658
429	495	657
430	496	655
431	497	654
432	498	652
433	499	651
434	499	649
435	500	648
436	501	646
437	502	644
438	503	643
439	504	641
440	505	640
441	506	638
442	506	637
443	507	635
444	508	634
445	509	633
446	510	631
447	511	630
448	512	628
449	513	627
450	514	625
451	514	624
452	515	622
453	516	621
454	517	619
455	518	618
456	519	616
457	519	615
458	520	613
459	521	612
460	522	610
461	523	609
462	524	608
463	525	606
464	526	605
465	526	603
466	527	602
467	528	600
468	529	599
469	530	597
470	531	596
471	531	595
472	532	593
473	533	592
474	534	590
475	535	589
476	536	587
477	536	586
478	537	584
479	538	583
480	539	581
481	540	580
482	541	579
483	542	578
484	543	577
485	544	575
486	545	574
487	546	573
488	547	572
489	548	571
490	550	570
491	551	569
492	552	567
493	553	566
494	554	565
495	555	564
496	556	563
497	557	561
498	558	560
499	559	559
500	560	558
501	561	557
502	562	556
503	564	555
504	564	553
505	565	552
506	567	551
507	568	550
508	569	548
509	570	547
510	571	546
511	571	545
512	572	543
513	573	542
514	574	541
515	576	540
516	577	539
517	577	537
518	578	536
519	579	535
520	580	533
521	581	532
522	582	531
523	583	529
524	584	528
525	585	527
526	586	525
527	586	524
528	587	523
529	588	522
530	589	521
531	590	519
532	591	518
533	592	517
534	593	515
535	594	514
536	595	513
537	596	512
538	597	511
539	598	509
540	599	508
541	600	507
542	600	505
543	601	504
544	602	503
545	603	502
546	604	500
547	605	499
548	606	498
549	607	497
550	608	496
551	609	494
552	610	493
553	611	492
554	613	491
555	614	490
556	615	489
557	616	488
558	617	487
559	618	486
560	619	485
561	621	484
562	622	483
563	623	482
564	624	480
565	625	479
566	627	478
567	628	477
568	629	476
569	630	475
570	632	474
571	633	474
572	635	473
573	636	472
574	637	471
575	639	470
576	640	469
577	642	468
578	643	468
579	645	467
580	646	466
581	648	465
582	649	464
583	651	464
584	653	463
585	654	462
586	655	461
587	657	460
588	659	460
589	661	459
590	663	459
591	665	458
592	667	458
593	669	457
594	671	457
595	673	456
596	675	456
597	677	455
598	679	454
599	681	454
600	683	453
601	684	452
602	686	451
603	689	451
604	691	451
605	693	450
606	695	450
607	697	449
608	699	448
609	701	448
610	704	448
611	705	447
612	707	446
613	710	446
614	713	446
615	715	446
616	718	445
617	720	445
618	723	445
619	725	444
620	728	444
621	731	444
622	732	443
623	734	442
624	736	442
625	739	441
626	742	441
627	745	441
628	748	441
629	751	441
630	754	441
631	756	440
632	759	440
633	762	440
634	764	439
635	768	439
636	771	439
637	774	439
638	777	439
639	781	439
640	784	439
641	787	439
642	790	439
643	793	438
644	796	438
645	800	438
646	803	438
647	806	438
648	809	437
649	812	437
650	815	437
651	818	436
652	821	436
653	824	436
654	827	435
655	830	435
656	833	435
657	836	434
658	839	434
659	841	433
660	844	433
661	846	432
662	849	431
663	851	431
664	854	430
665	856	429
666	858	428
667	860	427
668	862	426
669	864	425
670	866	424
671	867	423
672	869	422
673	871	421
674	874	420
675	875	419
676	877	418
677	879	417
678	880	416
679	882	415
680	883	414
681	885	412
682	886	411
683	888	410
684	890	409
685	891	408
686	892	406
687	894	405
688	895	404
689	896	402
690	898	401
691	899	400
692	901	399
693	902	398
694	904	396
695	905	395
696	906	394
697	908	393
698	909	391
699	911	390
700	913	389
701	914	388
702	916	387
703	917	385
704	918	384
705	920	383
706	921	381
707	923	380
708	924	379
709	926	378
710	927	377
711	928	375
712	930	374
713	931	373
714	932	371
715	934	370
716	935	369
717	936	367
718	937	366
719	939	365
720	940	363
721	941	362
722	943	361
723	944	360
724	945	358
725	946	357
726	947	355
727	948	354
728	950	353
729	951	351
730	952	350
731	953	349
732	955	347
733	956	346
734	957	345
735	958	343
736	959	342
737	961	341
738	962	339
739	963	338
740	964	337
741	965	335
742	967	334
743	968	333
744	969	331
745	970	330
746	971	329
747	973	327
748	974	326
749	976	325
750	977	324
751	978	322
752	980	321
753	981	320
754	982	318
755	983	317
756	984	316
757	985	314
758	986	313
759	988	312
760	989	310
761	990	309
762	991	308
763	992	306
764	993	305
765	994	303
766	996	302
767	997	301
768	998	299
769	999	298
770	1000	297
771	1001	295
772	1002	294
773	1003	293
774	1004	291
775	1006	290
776	1007	289
777	1008	287
778	1009	286
779	1010	284
780	1011	283
781	1012	282
782	1013	280
783	1014	279
784	1015	278
785	1016	276
786	1017	275
787	1019	274
788	1020	272
789	1021	271
790	1022	270
791	1023	268
792	1024	267
793	1025	266
794	1027	264
795	1028	263
796	1029	262
797	1030	260
798	1031	259
799	1032	258
800	1033	256
801	1034	255
802	1035	254
803	1036	252
804	1037	251
805	1038	250
806	1039	248
807	1040	247
808	1041	245
809	1042	244
810	1043	243
811	1045	241
812	1046	240
813	1047	239
814	1048	237
815	1049	236
816	1050	235
817	1051	234
818	1052	232
819	1053	231
820	1055	230
821	1056	228
822	1057	227
823	1058	226
824	1059	224
825	1060	223
826	1061	222
827	1062	220
828	1064	219
829	1065	218
830	1066	216
831	1067	215
832	1068	214
833	1069	212
834	1070	211
835	1071	210
836	1072	208
837	1074	207
838	1075	206
839	1076	204
840	1077	203
841	1078	202
842	1079	201
843	1080	199
844	1081	198
845	1082	197
846	1083	195
847	1084	194
848	1085	193
849	1087	191
850	1088	190
851	1089	189
852	1090	187
853	1091	186
854	1092	185
855	1093	183
856	1094	182
857	1095	181
858	1096	179
859	1097	178
860	1098	177
861	1099	175
862	1100	174
863	1101	173
864	1102	172
865	1103	170
866	1104	169
867	1105	168
868	1105	166
869	1107	165
870	1107	164
871	1108	162
872	1109	161
873	1110	160
874	1111	158
875	1112	157
876	1113	156
877	1114	154
878	1116	153
879	1117	152
880	1118	151
881	1119	149
882	1120	148
883	1122	147
884	1123	146
885	1125	144
886	1126	143
887	1127	142
888	1129	141
889	1130	139
890	1132	138
891	1133	137
892	1135	136
893	1136	134
894	1138	133
895	1139	132
896	1141	131
897	1143	129
898	1144	128
899	1146	127
900	1148	126
901	1149	124
902	1151	123
903	1152	122
904	1154	121
905	1155	119
906	1157	118
907	1158	117
908	1160	116
909	1161	114
910	1163	113
911	1164	112
912	1166	111
913	1168	109
914	1169	108
915	1171	107
916	1172	106
917	1175	104
918	1177	103
919	1179	102
920	1181	101
921	1183	100
922	1184	98
923	1186	97
924	1188	96
925	1190	95
926	1192	93
927	1195	92
928	1197	91
929	1198	90
930	1200	88
931	1202	87
932	1204	86
933	1205	85
934	1207	83
935	1209	82
936	1211	81
937	1212	80
938	1214	78
939	1216	77
940	1218	76
941	1220	75
942	1222	73
943	1224	72
944	1226	71
945	1228	70
946	1230	68
947	1232	67
948	1234	66
949	1236	65
950	1238	63
951	1241	62
952	1243	61
953	1245	60
954	1246	58
955	1248	57
956	1250	56
957	1251	54
958	1253	53
959	1255	52
960	1257	51
961	1258	49
962	1258	48
963	1260	47
964	1262	45
965	1265	44
966	1267	43
967	1269	41
968	1271	40
969	1273	39
970	1276	38
971	1277	36
972	1279	35
973	1281	34
974	1283	32
975	1285	31
976	1287	30
977	1289	29
978	1291	27
979	1294	26
980	1296	25
981	1298	23
982	1300	22
983	1302	21
984	1305	19
985	1307	18
986	1309	17
987	1310	15
988	1312	14
989	1314	13
990	1316	11
991	1318	10
992	1320	9
993	1321	7
994	1323	6
995	1325	5
996	1327	3
997	1329	2
998	1331	1
999	1333	0
